Gene	Trait	n_genes	category
KDM5B	DeNovoCodingVariants	66	DeNovoCodingVariants
SMAD2	DeNovoCodingVariants	66	DeNovoCodingVariants
PTEN	DeNovoCodingVariants	66	DeNovoCodingVariants
RPL5	DeNovoCodingVariants	66	DeNovoCodingVariants
CYP21A2	DeNovoCodingVariants	66	DeNovoCodingVariants
MYRF	DeNovoCodingVariants	66	DeNovoCodingVariants
ACTB	DeNovoCodingVariants	66	DeNovoCodingVariants
RIT1	DeNovoCodingVariants	66	DeNovoCodingVariants
ELN	DeNovoCodingVariants	66	DeNovoCodingVariants
SAMD11	DeNovoCodingVariants	66	DeNovoCodingVariants
CTNNB1	DeNovoCodingVariants	66	DeNovoCodingVariants
NAA15	DeNovoCodingVariants	66	DeNovoCodingVariants
PYGL	DeNovoCodingVariants	66	DeNovoCodingVariants
AKAP12	DeNovoCodingVariants	66	DeNovoCodingVariants
MYH6	DeNovoCodingVariants	66	DeNovoCodingVariants
LZTR1	DeNovoCodingVariants	66	DeNovoCodingVariants
FLT4	DeNovoCodingVariants	66	DeNovoCodingVariants
RABGAP1L	DeNovoCodingVariants	66	DeNovoCodingVariants
BRAF	DeNovoCodingVariants	66	DeNovoCodingVariants
DGUOK	DeNovoCodingVariants	66	DeNovoCodingVariants
ITSN2	DeNovoCodingVariants	66	DeNovoCodingVariants
AHNAK	DeNovoCodingVariants	66	DeNovoCodingVariants
KRT13	DeNovoCodingVariants	66	DeNovoCodingVariants
TBX5	DeNovoCodingVariants	66	DeNovoCodingVariants
U2SURP	DeNovoCodingVariants	66	DeNovoCodingVariants
ZEB2	DeNovoCodingVariants	66	DeNovoCodingVariants
NGFR	DeNovoCodingVariants	66	DeNovoCodingVariants
CDK13	DeNovoCodingVariants	66	DeNovoCodingVariants
DTNA	DeNovoCodingVariants	66	DeNovoCodingVariants
MINK1	DeNovoCodingVariants	66	DeNovoCodingVariants
PRRC2B	DeNovoCodingVariants	66	DeNovoCodingVariants
NR6A1	DeNovoCodingVariants	66	DeNovoCodingVariants
CHD4	DeNovoCodingVariants	66	DeNovoCodingVariants
DSCAML1	DeNovoCodingVariants	66	DeNovoCodingVariants
FRYL	DeNovoCodingVariants	66	DeNovoCodingVariants
PPL	DeNovoCodingVariants	66	DeNovoCodingVariants
ANK3	DeNovoCodingVariants	66	DeNovoCodingVariants
WASHC5	DeNovoCodingVariants	66	DeNovoCodingVariants
CAD	DeNovoCodingVariants	66	DeNovoCodingVariants
FBN1	DeNovoCodingVariants	66	DeNovoCodingVariants
KDM5A	DeNovoCodingVariants	66	DeNovoCodingVariants
TSC1	DeNovoCodingVariants	66	DeNovoCodingVariants
GANAB	DeNovoCodingVariants	66	DeNovoCodingVariants
CLUH	DeNovoCodingVariants	66	DeNovoCodingVariants
JAG1	DeNovoCodingVariants	66	DeNovoCodingVariants
CACNA1A	DeNovoCodingVariants	66	DeNovoCodingVariants
NSD2	DeNovoCodingVariants	66	DeNovoCodingVariants
MYO7B	DeNovoCodingVariants	66	DeNovoCodingVariants
SCN10A	DeNovoCodingVariants	66	DeNovoCodingVariants
NALCN	DeNovoCodingVariants	66	DeNovoCodingVariants
RYR3	DeNovoCodingVariants	66	DeNovoCodingVariants
FBN3	DeNovoCodingVariants	66	DeNovoCodingVariants
KMT2A	DeNovoCodingVariants	66	DeNovoCodingVariants
KMT2C	DeNovoCodingVariants	66	DeNovoCodingVariants
LRP1	DeNovoCodingVariants	66	DeNovoCodingVariants
